n,Direct Evaluation,Sum Formula,Product Formula
2,0.75,0.75,0.75
3,0.5555555555555556,0.5555555555555556,0.5555555555555556
4,0.5,0.5,0.5
5,0.36,0.36,0.36
6,0.4166666666666667,0.4166666666666667,0.4166666666666667
7,0.2653061224489796,0.2653061224489796,0.2653061224489796
8,0.3125,0.3125,0.3125
9,0.25925925925925924,0.25925925925925924,0.25925925925925924
10,0.27,0.27,0.27
11,0.17355371900826447,0.17355371900826447,0.17355371900826447
12,0.2777777777777778,0.2777777777777778,0.2777777777777778
13,0.14792899408284024,0.14792899408284024,0.14792899408284024
14,0.1989795918367347,0.1989795918367347,0.1989795918367347
15,0.2,0.2,0.2
16,0.1875,0.1875,0.1875
17,0.11418685121107267,0.11418685121107267,0.11418685121107267
18,0.19444444444444445,0.19444444444444445,0.19444444444444442
19,0.10249307479224377,0.10249307479224377,0.10249307479224377
20,0.18,0.18,0.18
21,0.1473922902494331,0.1473922902494331,0.14739229024943312
22,0.13016528925619836,0.13016528925619836,0.13016528925619836
23,0.08506616257088846,0.08506616257088846,0.08506616257088846
24,0.1736111111111111,0.1736111111111111,0.1736111111111111
25,0.104,0.104,0.104
26,0.11094674556213018,0.11094674556213018,0.11094674556213019
27,0.1111111111111111,0.1111111111111111,0.1111111111111111
28,0.1326530612244898,0.1326530612244898,0.1326530612244898
29,0.06777645659928656,0.06777645659928656,0.06777645659928656
30,0.15,0.15,0.15
31,0.06347554630593132,0.06347554630593132,0.06347554630593132
32,0.109375,0.109375,0.109375
33,0.09641873278236915,0.09641873278236915,0.09641873278236915
34,0.08564013840830449,0.08564013840830449,0.0856401384083045
35,0.09551020408163265,0.09551020408163265,0.09551020408163266
36,0.12962962962962962,0.12962962962962962,0.12962962962962962
37,0.053323593864134405,0.053323593864134405,0.053323593864134405
38,0.07686980609418283,0.07686980609418283,0.07686980609418283
39,0.08218277449046679,0.08218277449046679,0.0821827744904668
40,0.1125,0.1125,0.11249999999999999
41,0.04818560380725759,0.04818560380725759,0.04818560380725759
42,0.11054421768707483,0.11054421768707483,0.11054421768707484
43,0.04597079502433748,0.04597079502433748,0.04597079502433748
44,0.08677685950413223,0.08677685950413223,0.08677685950413223
45,0.09333333333333334,0.09333333333333334,0.09333333333333332
46,0.06379962192816635,0.06379962192816635,0.06379962192816635
47,0.04210049796287913,0.04210049796287913,0.04210049796287913
48,0.10416666666666667,0.10416666666666667,0.10416666666666667
49,0.05539358600583091,0.05539358600583091,0.05539358600583091
50,0.078,0.078,0.078
51,0.06343713956170703,0.06343713956170703,0.06343713956170705
52,0.07396449704142012,0.07396449704142012,0.07396449704142012
53,0.037379850480598074,0.037379850480598074,0.037379850480598074
54,0.08333333333333333,0.08333333333333333,0.08333333333333333
55,0.062479338842975206,0.062479338842975206,0.062479338842975206
56,0.08290816326530612,0.08290816326530612,0.08290816326530613
57,0.05694059710680209,0.05694059710680209,0.0569405971068021
58,0.05083234244946492,0.05083234244946492,0.050832342449464926
59,0.033611031312841134,0.033611031312841134,0.033611031312841134
60,0.1,0.1,0.1
61,0.03251814028486966,0.03251814028486966,0.03251814028486966
62,0.04760665972944849,0.04760665972944849,0.04760665972944848
63,0.06878306878306878,0.06878306878306878,0.06878306878306878
64,0.0625,0.0625,0.0625
65,0.05325443786982249,0.05325443786982249,0.05325443786982249
66,0.07231404958677685,0.07231404958677685,0.07231404958677687
67,0.029627979505457785,0.029627979505457785,0.029627979505457785
68,0.05709342560553633,0.05709342560553633,0.05709342560553633
69,0.04725897920604915,0.04725897920604915,0.04725897920604915
70,0.07163265306122449,0.07163265306122449,0.0716326530612245
71,0.027970640745883752,0.027970640745883752,0.027970640745883752
72,0.08101851851851852,0.08101851851851852,0.08101851851851852
73,0.027209607806342653,0.027209607806342653,0.027209607806342653
74,0.039992695398100804,0.039992695398100804,0.039992695398100804
75,0.057777777777777775,0.057777777777777775,0.057777777777777775
76,0.05124653739612189,0.05124653739612189,0.05124653739612189
77,0.04604486422668241,0.04604486422668241,0.046044864226682414
78,0.0616370808678501,0.0616370808678501,0.0616370808678501
79,0.025156224963948086,0.025156224963948086,0.025156224963948086
80,0.0675,0.0675,0.0675
81,0.04526748971193416,0.04526748971193416,0.04526748971193416
82,0.03613920285544319,0.03613920285544319,0.03613920285544319
83,0.023951226593119466,0.023951226593119466,0.023951226593119466
84,0.07369614512471655,0.07369614512471655,0.07369614512471656
85,0.04110726643598616,0.04110726643598616,0.04110726643598616
86,0.03447809626825311,0.03447809626825311,0.03447809626825311
87,0.037653586999603646,0.037653586999603646,0.037653586999603646
88,0.054235537190082644,0.054235537190082644,0.054235537190082644
89,0.02234566342633506,0.02234566342633506,0.02234566342633506
90,0.07,0.07,0.06999999999999999
91,0.03924646781789639,0.03924646781789639,0.0392464678178964
92,0.04253308128544423,0.04253308128544423,0.04253308128544423
93,0.03526419239218407,0.03526419239218407,0.03526419239218406
94,0.03157537347215935,0.03157537347215935,0.03157537347215935
95,0.036897506925207754,0.036897506925207754,0.036897506925207754
96,0.06076388888888889,0.06076388888888889,0.060763888888888895
97,0.02051227548092252,0.02051227548092252,0.02051227548092252
98,0.04154518950437318,0.04154518950437318,0.04154518950437318
99,0.04499540863177227,0.04499540863177227,0.04499540863177227
Total Time,0.05770301818847656,0.009702205657958984,0.0009725093841552734
